"","dateCrawled","price","abtest","vehicleType","yearOfRegistration","gearbox","powerPS","model","kilometer","monthOfRegistration","fuelType","brand","notRepairedDamage","dateCreated","postalCode","lastSeen"
"2571","3/21/2016 13:41",790,0,8,1997,0,0,"passat",150000,0,"",40,NA,"3/21/2016 0:00",39288,"4/6/2016 8:45"
"2575","3/9/2016 10:53",5400,1,6,2002,1,179,"a4",150000,3,"1",36,0,"3/9/2016 0:00",4936,"3/27/2016 18:18"
"2577","3/23/2016 12:54",12190,1,6,2009,0,224,"c_klasse",150000,9,"1",37,0,"3/23/2016 0:00",27793,"4/1/2016 17:18"
"2601","3/11/2016 12:54",2450,0,5,2003,0,107,"scenic",150000,5,"0",34,0,"3/11/2016 0:00",26655,"3/12/2016 2:16"
"2602","3/28/2016 21:36",3200,1,6,2006,0,105,"leon",125000,11,"0",31,0,"3/28/2016 0:00",31787,"3/28/2016 22:45"
"2604","3/14/2016 21:40",750,0,7,2003,NA,0,"corsa",150000,10,"0",38,NA,"3/14/2016 0:00",23779,"3/19/2016 11:16"
"2608","4/4/2016 10:55",13500,1,8,2009,0,122,"golf",100000,7,"0",40,0,"4/4/2016 0:00",53347,"4/6/2016 12:17"
"2618","3/14/2016 20:46",11900,1,4,2004,0,192,"z_reihe",90000,4,"0",30,1,"3/14/2016 0:00",67071,"3/28/2016 8:16"
"2622","3/7/2016 10:57",6950,0,7,2012,0,69,"polo",60000,10,"0",40,0,"3/7/2016 0:00",53340,"3/10/2016 0:46"
"2628","3/15/2016 12:37",11111,1,3,1980,1,136,"",100000,7,"0",35,NA,"3/15/2016 0:00",37081,"4/6/2016 0:16"
"2633","4/2/2016 20:36",1300,0,7,1998,0,0,"a_klasse",150000,9,"0",37,0,"4/2/2016 0:00",72411,"4/4/2016 18:46"
"2639","4/3/2016 11:49",5200,1,8,2003,1,0,"e_klasse",150000,0,"1",37,0,"4/3/2016 0:00",20355,"4/3/2016 11:49"
"2640","3/5/2016 15:59",14850,1,8,2009,NA,0,"golf",80000,11,"0",40,0,"3/5/2016 0:00",77883,"3/10/2016 16:46"
"2642","3/28/2016 19:41",0,1,7,1999,0,60,"3_reihe",150000,4,"0",33,NA,"3/28/2016 0:00",35410,"4/3/2016 0:21"
"2645","3/17/2016 16:48",5990,0,8,2005,0,140,"passat",150000,6,"1",40,0,"3/17/2016 0:00",44649,"4/7/2016 2:17"
"2646","3/10/2016 13:38",2950,0,7,2003,0,75,"polo",125000,4,"0",40,0,"3/10/2016 0:00",34560,"3/10/2016 13:38"
"2649","3/13/2016 0:25",1995,1,5,2003,0,95,"combo",150000,1,"0",38,0,"3/12/2016 0:00",60487,"3/14/2016 14:12"
"2652","4/2/2016 17:38",5950,1,5,2007,0,145,"1",150000,11,"1",34,0,"4/2/2016 0:00",98574,"4/6/2016 16:45"
"2663","3/22/2016 16:43",2100,0,6,1997,0,187,"c_klasse",150000,0,"",37,NA,"3/22/2016 0:00",32457,"4/2/2016 9:15"
"2665","4/5/2016 12:50",3000,0,8,2002,0,0,"astra",150000,7,"0",38,0,"4/5/2016 0:00",39387,"4/5/2016 12:50"
"2671","3/7/2016 17:50",2950,0,8,2004,0,82,"clio",150000,1,"1",34,0,"3/7/2016 0:00",37081,"3/26/2016 21:45"
"2674","3/12/2016 6:57",999,1,8,1999,0,101,"focus",150000,11,"0",35,1,"3/12/2016 0:00",79426,"4/5/2016 23:18"
"2676","3/8/2016 12:37",2390,0,3,1998,0,170,"3er",150000,5,"0",30,1,"2/24/2016 0:00",87616,"4/5/2016 23:44"
"2687","3/21/2016 21:51",19000,1,3,2008,0,239,"a5",150000,1,"1",36,0,"3/21/2016 0:00",53639,"4/7/2016 2:46"
"2700","3/10/2016 18:39",2900,0,1,2003,NA,0,"a3",150000,10,"1",36,0,"3/10/2016 0:00",97996,"3/10/2016 18:39"
"2704","3/24/2016 18:31",850,0,8,2000,0,114,"primera",150000,12,"0",26,0,"3/24/2016 0:00",56575,"4/6/2016 4:45"
"2729","3/30/2016 4:03",16320,0,8,2014,0,122,"a1",10000,9,"0",36,0,"3/30/2016 0:00",74177,"4/6/2016 23:46"
"2739","3/12/2016 21:36",1300,0,8,1999,0,101,"golf",150000,12,"0",40,0,"3/12/2016 0:00",63911,"3/12/2016 23:44"
"2747","3/9/2016 8:25",3666,0,4,2005,0,90,"tigra",150000,4,"0",38,0,"3/9/2016 0:00",55481,"4/6/2016 5:46"
"2749","3/23/2016 17:44",3799,1,5,2005,0,125,"c_max",150000,8,"0",35,0,"3/23/2016 0:00",66839,"3/23/2016 17:44"
"2752","3/7/2016 8:55",4700,1,7,2010,0,75,"2_reihe",80000,12,"0",33,0,"3/7/2016 0:00",66271,"4/1/2016 15:45"
"2759","3/5/2016 18:25",16450,1,8,2008,1,0,"x_reihe",150000,8,"",30,0,"3/5/2016 0:00",56070,"3/23/2016 21:18"
"2769","3/18/2016 0:41",3990,0,3,1999,0,170,"3er",150000,3,"0",30,0,"3/17/2016 0:00",84453,"4/5/2016 14:18"
"2792","3/7/2016 23:56",9199,0,2,2006,0,150,"captiva",125000,10,"1",14,0,"3/7/2016 0:00",59821,"3/17/2016 21:45"
"2796","3/30/2016 13:49",2350,0,8,2002,0,107,"3_reihe",150000,6,"1",33,0,"3/30/2016 0:00",52066,"3/30/2016 13:49"
"2797","3/28/2016 17:44",2444,0,8,2001,0,0,"3_reihe",150000,10,"1",33,0,"3/28/2016 0:00",52525,"3/28/2016 17:44"
"2801","3/22/2016 12:47",16990,1,5,2014,1,105,"altea",30000,12,"1",31,0,"3/22/2016 0:00",72124,"4/6/2016 1:17"
"2811","3/30/2016 0:25",1350,0,6,2002,0,110,"mondeo",150000,12,"0",35,0,"3/29/2016 0:00",35792,"4/6/2016 15:15"
"2812","3/20/2016 13:59",90,0,7,2001,0,0,"twingo",150000,0,"0",34,1,"3/20/2016 0:00",14641,"3/20/2016 14:40"
"2813","3/29/2016 9:37",8800,0,5,2006,0,140,"sharan",150000,5,"1",40,0,"3/29/2016 0:00",35410,"4/5/2016 19:17"
"2826","3/26/2016 23:58",2400,0,7,2005,1,0,"fortwo",125000,10,"0",29,0,"3/26/2016 0:00",12249,"4/7/2016 2:46"
"2832","4/4/2016 7:01",13000,0,6,2009,1,177,"",150000,9,"1",30,0,"4/4/2016 0:00",32791,"4/6/2016 10:16"
"2835","3/26/2016 13:53",700,1,7,2001,0,75,"twingo",150000,8,"0",34,NA,"3/26/2016 0:00",89568,"4/5/2016 21:17"
"2839","3/10/2016 20:50",7900,0,7,2005,0,102,"golf",50000,11,"",40,NA,"3/10/2016 0:00",84028,"4/6/2016 8:46"
"2843","3/29/2016 22:47",3900,0,6,2003,0,141,"6_reihe",150000,9,"",28,0,"3/29/2016 0:00",48356,"4/6/2016 9:46"
"2848","3/10/2016 17:40",1300,1,8,1995,0,113,"e_klasse",150000,2,"1",37,0,"3/10/2016 0:00",40472,"3/21/2016 4:47"
"2853","4/3/2016 18:40",3499,1,7,2009,0,86,"ibiza",150000,12,"0",31,0,"4/3/2016 0:00",26197,"4/5/2016 18:46"
"2854","4/4/2016 21:58",2600,0,8,1999,0,101,"golf",150000,3,"0",40,0,"4/4/2016 0:00",56244,"4/5/2016 12:25"
"2855","3/14/2016 14:52",1400,1,7,2001,0,75,"clio",150000,5,"0",34,0,"3/14/2016 0:00",90451,"4/5/2016 17:25"
"2858","3/13/2016 18:42",35000,0,3,1979,0,179,"911",150000,5,"0",16,0,"3/13/2016 0:00",32120,"3/13/2016 18:42"
"2859","3/17/2016 17:51",700,1,7,2001,0,50,"1",150000,3,"0",33,1,"3/17/2016 0:00",32756,"3/17/2016 17:51"
"2860","3/28/2016 15:50",21990,1,3,2010,1,231,"e_klasse",125000,1,"1",37,0,"3/28/2016 0:00",82178,"4/2/2016 20:18"
"2861","3/7/2016 9:36",25999,1,8,2014,1,184,"golf",30000,12,"1",40,0,"3/7/2016 0:00",10315,"3/29/2016 20:46"
"2863","3/15/2016 13:48",600,1,7,2000,0,60,"1_reihe",150000,0,"",33,NA,"3/15/2016 0:00",24790,"3/15/2016 13:48"
"2877","4/4/2016 7:57",250,0,7,1996,NA,0,"twingo",150000,1,"0",34,1,"4/4/2016 0:00",71522,"4/6/2016 10:17"
"2880","3/11/2016 13:56",1900,0,7,2004,1,41,"fortwo",150000,4,"1",29,0,"3/11/2016 0:00",40219,"3/11/2016 14:40"
"2883","3/6/2016 13:51",722,0,8,1999,0,116,"6_reihe",150000,10,"0",28,0,"3/6/2016 0:00",65779,"3/7/2016 18:34"
"2885","3/21/2016 17:48",475,1,7,2000,0,50,"lupo",150000,0,"0",40,0,"3/21/2016 0:00",34582,"4/6/2016 18:44"
"2887","3/16/2016 20:56",1100,1,NA,2016,0,0,"polo",150000,0,"",40,NA,"3/16/2016 0:00",31789,"4/7/2016 7:46"
"2889","3/31/2016 7:55",3000,0,7,1998,1,101,"golf",125000,7,"0",40,0,"3/31/2016 0:00",16816,"4/3/2016 23:45"
"2891","3/26/2016 9:51",8550,1,3,2013,1,84,"fortwo",30000,4,"0",29,0,"3/26/2016 0:00",91522,"4/3/2016 20:44"
"2893","3/26/2016 16:43",2999,1,5,2007,0,90,"berlingo",125000,3,"1",27,0,"3/26/2016 0:00",52249,"3/31/2016 12:17"
"2899","3/9/2016 18:36",150,0,NA,2000,0,0,"1",150000,0,"0",27,1,"3/9/2016 0:00",55578,"4/7/2016 11:46"
"2913","3/11/2016 20:37",3899,1,NA,2017,0,163,"a4",150000,0,"",36,1,"3/11/2016 0:00",52353,"4/6/2016 2:46"
"2917","3/14/2016 21:38",2499,0,8,2000,0,116,"1",150000,5,"1",4,0,"3/14/2016 0:00",49090,"4/6/2016 11:46"
"2920","3/16/2016 21:45",5350,1,8,2007,0,105,"golf",150000,10,"1",40,0,"3/16/2016 0:00",4178,"4/7/2016 9:16"
"2921","3/25/2016 13:25",2800,0,NA,2005,NA,150,"",150000,0,"",24,NA,"3/25/2016 0:00",35641,"4/7/2016 7:16"
"2923","4/5/2016 11:57",0,0,7,1993,0,75,"clio",150000,0,"0",34,NA,"4/5/2016 0:00",41379,"4/5/2016 12:39"
"2927","3/11/2016 19:59",300,0,7,1997,0,75,"1",150000,6,"0",25,0,"3/11/2016 0:00",95326,"3/12/2016 11:15"
"2951","4/1/2016 21:55",2200,0,NA,2016,0,90,"2_reihe",150000,3,"1",33,0,"4/1/2016 0:00",21465,"4/5/2016 20:18"
"2952","3/19/2016 15:38",500,1,7,2000,0,54,"corsa",150000,1,"0",38,0,"3/19/2016 0:00",78554,"3/28/2016 17:48"
"2955","3/26/2016 21:50",9480,1,8,1993,1,286,"7er",150000,10,"0",30,0,"3/26/2016 0:00",83395,"4/6/2016 13:46"
"2956","3/17/2016 14:57",16500,1,8,2009,1,306,"3er",150000,6,"0",30,0,"3/17/2016 0:00",94342,"4/6/2016 22:45"
"2958","3/16/2016 15:47",3950,0,5,2006,0,109,"sprinter",150000,5,"1",37,1,"3/16/2016 0:00",73035,"3/16/2016 15:47"
"2963","3/30/2016 21:44",14200,0,NA,2017,1,200,"tt",150000,11,"",36,NA,"3/30/2016 0:00",66509,"4/1/2016 16:45"
"2968","3/7/2016 20:49",8500,0,3,2010,0,140,"astra",70000,6,"0",38,0,"3/7/2016 0:00",1594,"3/27/2016 19:46"
"2975","3/12/2016 18:44",399,0,7,1994,1,60,"corsa",150000,5,"0",38,0,"3/12/2016 0:00",71522,"3/14/2016 11:15"
"2976","3/29/2016 17:56",0,1,5,2001,0,116,"zafira",150000,0,"",38,NA,"3/29/2016 0:00",7646,"3/29/2016 18:43"
"2977","4/3/2016 13:41",34000,1,2,2012,1,190,"range_rover_evoque",70000,8,"1",5,0,"4/3/2016 0:00",78532,"4/5/2016 12:19"
"2983","3/14/2016 22:55",1000,1,8,1997,0,150,"",150000,12,"0",30,0,"3/14/2016 0:00",51067,"3/15/2016 5:41"
"2988","3/5/2016 21:51",2700,0,7,2007,0,77,"1",125000,10,"0",32,1,"3/5/2016 0:00",82031,"3/14/2016 16:17"
"2994","3/28/2016 17:54",890,0,7,2007,0,90,"getz",150000,12,"1",23,NA,"3/28/2016 0:00",56410,"3/28/2016 18:44"
"3001","3/10/2016 12:39",8000,0,7,2010,0,92,"swift",90000,11,"0",17,0,"3/10/2016 0:00",66640,"4/7/2016 4:46"
"3011","3/9/2016 9:50",7300,0,8,2008,0,140,"mondeo",150000,9,"1",35,0,"3/9/2016 0:00",90461,"3/23/2016 11:16"
"3013","3/19/2016 9:55",3699,0,4,2004,0,101,"astra",125000,12,"0",38,NA,"3/19/2016 0:00",73635,"3/20/2016 11:48"
"3014","3/11/2016 0:36",1350,0,8,2006,1,109,"focus",150000,11,"1",35,1,"3/11/2016 0:00",40667,"4/6/2016 5:45"
"3016","3/31/2016 20:54",5499,0,NA,2018,0,80,"corsa",100000,12,"",38,0,"3/31/2016 0:00",22177,"4/6/2016 15:46"
"3026","3/16/2016 13:57",999,1,7,1999,0,75,"lupo",125000,4,"0",40,0,"3/16/2016 0:00",89250,"4/6/2016 12:45"
"3038","3/12/2016 13:40",650,1,3,2000,0,100,"",150000,11,"",38,NA,"3/12/2016 0:00",27793,"3/13/2016 4:46"
"3048","3/15/2016 9:44",8000,1,NA,2018,0,0,"golf",150000,9,"1",40,NA,"3/15/2016 0:00",22145,"4/5/2016 17:22"
"3056","3/13/2016 6:36",2500,0,6,2004,0,101,"fabia",125000,4,"0",30,NA,"3/13/2016 0:00",12627,"3/13/2016 7:53"
"3070","4/5/2016 1:55",1450,1,8,1999,0,0,"a_klasse",150000,6,"0",37,NA,"4/4/2016 0:00",42551,"4/5/2016 7:45"
"3074","3/26/2016 18:37",6900,0,7,2011,0,68,"punto",60000,1,"0",32,0,"3/26/2016 0:00",49811,"4/6/2016 7:44"
"3075","4/4/2016 21:51",300,0,NA,1995,NA,0,"",125000,0,"",34,NA,"4/4/2016 0:00",8468,"4/7/2016 0:45"
"3076","3/14/2016 9:45",950,1,5,1996,0,68,"transporter",150000,6,"1",40,NA,"3/14/2016 0:00",24103,"3/23/2016 9:45"
"3079","3/26/2016 22:36",10800,0,5,2011,0,140,"zafira",80000,2,"0",38,0,"3/26/2016 0:00",34628,"4/7/2016 2:46"
"3083","4/2/2016 12:50",2699,0,6,2001,1,125,"astra",150000,9,"0",38,0,"4/2/2016 0:00",36124,"4/4/2016 10:16"
"3101","3/20/2016 17:38",999,0,7,2000,0,75,"1_reihe",150000,9,"0",33,NA,"3/20/2016 0:00",59457,"4/6/2016 23:46"
"3109","3/11/2016 23:51",13900,0,8,2008,1,177,"3er",150000,8,"1",30,0,"3/11/2016 0:00",40599,"4/5/2016 17:22"
"3111","3/28/2016 9:53",900,1,8,1999,0,172,"a4",150000,10,"1",36,0,"3/28/2016 0:00",96148,"4/2/2016 13:46"
"3113","3/23/2016 0:55",4490,0,8,2005,0,102,"golf",150000,4,"0",40,0,"3/22/2016 0:00",33689,"3/25/2016 22:46"
"3114","3/9/2016 20:49",13500,0,2,2015,0,105,"yeti",10000,3,"0",30,0,"3/9/2016 0:00",38446,"3/12/2016 22:45"
"3117","3/10/2016 17:47",1350,1,7,1997,0,50,"polo",80000,1,"0",40,0,"3/10/2016 0:00",33129,"3/31/2016 2:47"
"3127","4/1/2016 16:47",900,1,6,1999,0,211,"omega",150000,9,"0",38,1,"4/1/2016 0:00",25575,"4/5/2016 12:16"
"3129","3/20/2016 18:44",2250,0,6,2003,0,101,"golf",150000,7,"1",40,0,"3/20/2016 0:00",68623,"3/21/2016 21:47"
"3136","3/25/2016 17:44",1500,0,5,2002,1,116,"",150000,0,"1",31,1,"3/25/2016 0:00",30167,"3/27/2016 5:15"
"3142","3/22/2016 16:38",28599,0,8,2009,1,0,"s_klasse",150000,11,"",37,0,"3/22/2016 0:00",13403,"4/2/2016 8:47"
"3155","3/15/2016 8:53",15000,0,8,2006,1,233,"q7",150000,12,"1",36,0,"3/15/2016 0:00",40227,"3/18/2016 2:16"
"3156","3/28/2016 8:36",2600,0,5,1996,1,110,"transporter",150000,0,"0",40,0,"3/28/2016 0:00",9235,"3/28/2016 10:40"
"3171","3/24/2016 3:02",3800,0,8,2005,0,110,"leon",150000,2,"1",31,0,"3/24/2016 0:00",58119,"3/28/2016 16:45"
"3174","3/8/2016 21:55",900,1,7,1998,0,60,"corsa",150000,3,"0",38,NA,"3/8/2016 0:00",13409,"3/14/2016 19:18"
"3177","3/14/2016 18:52",8000,0,8,2006,0,163,"3er",150000,6,"1",30,0,"3/14/2016 0:00",95502,"4/2/2016 5:17"
"3180","3/23/2016 13:57",2250,0,6,2000,0,125,"c_klasse",150000,6,"1",37,NA,"3/23/2016 0:00",66706,"4/5/2016 14:45"
"3183","4/3/2016 11:55",25290,1,6,2015,1,184,"leon",5000,12,"1",31,0,"4/3/2016 0:00",22297,"4/5/2016 10:18"
"3188","4/1/2016 23:56",4000,1,7,2006,1,61,"fortwo",50000,8,"0",29,0,"4/1/2016 0:00",32547,"4/6/2016 5:16"
"3197","3/30/2016 10:36",799,0,8,2003,0,0,"6_reihe",150000,6,"2",28,1,"3/30/2016 0:00",45329,"3/30/2016 11:47"
"3199","4/1/2016 13:57",560,0,3,1998,0,0,"1",150000,0,"",19,NA,"4/1/2016 0:00",39448,"4/1/2016 13:57"
"3207","3/21/2016 9:57",11900,1,2,2007,1,177,"",150000,8,"1",24,0,"3/21/2016 0:00",32425,"4/2/2016 5:18"
"3215","3/16/2016 19:44",150,0,NA,2016,0,60,"fiesta",60000,4,"0",35,NA,"3/16/2016 0:00",2763,"3/20/2016 20:18"
"3224","4/1/2016 5:02",4800,1,4,1998,0,155,"spider",150000,5,"0",15,0,"4/1/2016 0:00",66292,"4/7/2016 6:15"
"3239","3/28/2016 17:43",9900,0,8,2009,1,122,"1er",60000,5,"0",30,0,"3/28/2016 0:00",84130,"4/6/2016 23:15"
"3241","3/7/2016 17:48",8400,0,8,2007,0,137,"1",100000,4,"0",2,0,"3/7/2016 0:00",88214,"4/6/2016 12:44"
"3243","3/11/2016 18:52",19995,0,4,2008,1,231,"clk",30000,8,"0",37,0,"3/11/2016 0:00",45659,"3/12/2016 9:16"
"3244","3/15/2016 5:04",0,0,8,2000,0,0,"c_klasse",150000,10,"1",37,NA,"3/15/2016 0:00",23556,"3/15/2016 6:36"
"3252","3/9/2016 19:37",1500,0,7,2000,0,60,"polo",150000,4,"0",40,0,"3/9/2016 0:00",73463,"4/5/2016 12:45"
"3268","3/23/2016 10:50",12000,1,2,2012,1,197,"santa",125000,1,"1",23,0,"3/23/2016 0:00",53545,"3/29/2016 3:44"
"3269","4/4/2016 14:37",999,0,6,1997,0,64,"caddy",150000,3,"1",40,NA,"4/4/2016 0:00",51688,"4/6/2016 15:45"
"3278","3/19/2016 20:53",0,1,6,1989,0,90,"passat",150000,3,"0",40,1,"3/19/2016 0:00",59494,"3/19/2016 21:41"
"3282","3/15/2016 22:42",6880,1,7,2007,0,120,"cooper",125000,2,"0",22,0,"3/15/2016 0:00",57074,"3/16/2016 20:46"
"3285","3/10/2016 2:36",10599,1,2,2009,1,150,"antara",150000,5,"1",38,0,"3/10/2016 0:00",29683,"4/6/2016 4:44"
"3286","3/9/2016 1:58",650,1,4,1995,0,125,"cr_reihe",150000,6,"0",19,0,"3/9/2016 0:00",42549,"3/9/2016 15:44"
"3296","3/17/2016 10:49",1200,0,8,1999,0,116,"vectra",150000,9,"0",38,0,"3/17/2016 0:00",30165,"4/6/2016 9:15"
"3302","4/3/2016 19:52",7999,0,8,2004,1,224,"a6",150000,10,"1",36,0,"4/3/2016 0:00",10961,"4/5/2016 20:45"
"3303","4/3/2016 16:56",5490,1,5,2009,0,116,"vito",150000,4,"1",37,0,"4/3/2016 0:00",84539,"4/5/2016 16:46"
"3314","3/23/2016 22:51",5850,0,5,2006,0,140,"galaxy",150000,10,"1",35,0,"3/23/2016 0:00",45888,"3/23/2016 23:43"
"3317","3/25/2016 16:43",4500,1,5,2011,0,102,"caddy",150000,2,"",40,NA,"3/25/2016 0:00",42799,"4/6/2016 21:15"
"3321","3/17/2016 23:54",1850,1,7,2001,0,75,"2_reihe",150000,8,"0",33,0,"3/17/2016 0:00",49525,"3/18/2016 5:48"
"3324","3/31/2016 22:39",1199,0,6,1999,0,125,"c_klasse",150000,8,"1",37,1,"3/31/2016 0:00",82398,"4/2/2016 18:44"
"3331","3/7/2016 13:37",12700,1,5,2011,0,105,"touran",150000,9,"1",40,0,"3/7/2016 0:00",86899,"3/19/2016 6:46"
"3333","4/3/2016 22:52",899,1,6,1996,0,115,"vectra",150000,12,"0",38,0,"4/3/2016 0:00",63739,"4/6/2016 0:45"
"3336","3/16/2016 0:56",5150,0,7,2010,0,82,"fiesta",100000,3,"0",35,0,"3/16/2016 0:00",38723,"3/28/2016 1:45"
"3337","3/21/2016 13:44",1500,0,8,1999,1,170,"1",150000,9,"0",21,0,"3/21/2016 0:00",48151,"3/31/2016 16:15"
"3346","4/2/2016 19:36",200,1,8,1999,0,0,"laguna",150000,3,"0",34,NA,"4/2/2016 0:00",33142,"4/6/2016 19:44"
"3361","3/31/2016 19:54",750,1,7,1999,0,54,"seicento",125000,10,"0",32,0,"3/31/2016 0:00",47800,"4/6/2016 14:18"
"3385","3/29/2016 13:45",19999,1,2,2014,1,163,"kuga",90000,6,"1",35,0,"3/29/2016 0:00",58256,"4/5/2016 22:47"
"3386","3/30/2016 19:38",1000,0,7,1997,0,60,"ibiza",150000,4,"0",31,0,"3/30/2016 0:00",26810,"3/30/2016 19:38"
"3389","4/2/2016 18:42",1899,1,7,2003,0,68,"fiesta",150000,2,"1",35,0,"4/2/2016 0:00",8066,"4/6/2016 18:17"
"3390","3/7/2016 0:42",1300,0,NA,1995,0,163,"1",150000,5,"0",35,NA,"3/6/2016 0:00",88353,"4/7/2016 3:15"
"3400","3/23/2016 18:51",15750,0,8,2012,0,116,"1er",20000,7,"1",30,0,"3/23/2016 0:00",81829,"3/28/2016 0:17"
"3404","3/14/2016 20:39",11999,1,6,2012,0,105,"fabia",50000,3,"0",30,0,"3/14/2016 0:00",42499,"3/28/2016 7:17"
"3410","4/4/2016 19:39",0,0,7,1995,0,60,"polo",150000,4,"0",40,1,"4/4/2016 0:00",88281,"4/6/2016 21:45"
"3412","4/2/2016 22:47",15000,0,8,2008,0,344,"leon",125000,6,"0",31,0,"4/2/2016 0:00",71384,"4/6/2016 23:46"
"3417","4/4/2016 20:57",0,1,7,2002,0,90,"a_klasse",5000,7,"",37,1,"4/4/2016 0:00",91301,"4/6/2016 23:44"
"3418","3/22/2016 19:55",2250,0,NA,2017,0,101,"polo",150000,9,"1",40,NA,"3/22/2016 0:00",73033,"4/6/2016 13:16"
"3430","3/7/2016 21:38",12,1,NA,2015,NA,0,"5er",5000,0,"",30,NA,"3/7/2016 0:00",28237,"3/11/2016 6:45"
"3431","4/5/2016 11:56",2750,0,4,2001,0,150,"2_reihe",100000,7,"0",33,0,"4/5/2016 0:00",21220,"4/5/2016 12:41"
"3436","4/3/2016 15:58",6500,0,6,1997,0,150,"3er",150000,10,"0",30,0,"4/3/2016 0:00",1705,"4/5/2016 15:16"
"3451","3/21/2016 18:56",999,0,6,1995,NA,101,"passat",150000,3,"0",40,0,"3/21/2016 0:00",89567,"4/6/2016 21:16"
"3452","3/28/2016 10:48",7700,1,6,2006,1,150,"c_klasse",150000,10,"1",37,0,"3/28/2016 0:00",30419,"4/6/2016 12:45"
"3459","3/30/2016 15:57",11900,0,7,2011,0,86,"a1",40000,11,"0",36,0,"3/30/2016 0:00",97265,"4/7/2016 7:15"
"3460","4/2/2016 15:41",1200,1,5,2000,0,120,"ducato",150000,7,"1",32,0,"4/2/2016 0:00",46284,"4/2/2016 15:41"
"3465","3/31/2016 20:52",1099,0,7,2003,0,75,"corsa",150000,2,"0",38,0,"3/31/2016 0:00",65527,"4/6/2016 14:15"
"3470","3/25/2016 9:37",0,0,6,2004,0,131,"passat",150000,7,"1",40,0,"3/25/2016 0:00",49090,"4/6/2016 7:46"
"3487","3/30/2016 17:43",600,1,7,1996,0,55,"punto",150000,12,"0",32,1,"3/30/2016 0:00",26340,"4/7/2016 8:16"
"3488","3/15/2016 19:57",0,1,8,1998,1,155,"a3",150000,0,"",36,0,"3/15/2016 0:00",27432,"4/7/2016 0:44"
"3491","3/25/2016 19:55",250,0,7,1998,0,65,"corsa",150000,12,"0",38,NA,"3/25/2016 0:00",92237,"4/7/2016 2:46"
"3494","3/29/2016 15:36",3900,1,7,2005,0,80,"polo",150000,11,"1",40,0,"3/29/2016 0:00",32816,"4/6/2016 1:15"
"3498","3/14/2016 19:46",1099,1,6,1996,0,90,"passat",150000,4,"0",40,0,"3/14/2016 0:00",34253,"3/28/2016 5:46"
"3499","3/27/2016 15:51",3600,1,6,2000,1,150,"a4",150000,4,"0",36,0,"3/27/2016 0:00",70327,"4/5/2016 11:47"
"3507","3/13/2016 21:37",100000,0,8,1999,0,200,"",150000,1,"1",24,0,"3/13/2016 0:00",24944,"3/13/2016 21:37"
"3515","3/27/2016 13:37",500,0,NA,2000,0,102,"3er",125000,6,"",30,NA,"3/27/2016 0:00",85221,"4/7/2016 9:16"
"3521","3/17/2016 18:45",4399,1,NA,2017,0,150,"",150000,12,"",30,0,"3/17/2016 0:00",66773,"4/7/2016 5:45"
"3532","3/28/2016 18:41",300,1,8,1996,0,66,"primera",10000,3,"0",26,NA,"3/28/2016 0:00",10315,"4/4/2016 21:47"
"3533","3/23/2016 22:45",3250,0,NA,2016,0,120,"scenic",150000,8,"1",34,0,"3/23/2016 0:00",66113,"3/26/2016 16:16"
"3535","3/26/2016 12:59",18500,1,4,2008,1,170,"3er",100000,4,"0",30,0,"3/26/2016 0:00",12279,"4/6/2016 0:45"
"3540","3/23/2016 2:02",5850,0,7,2007,0,140,"golf",150000,8,"1",40,NA,"3/23/2016 0:00",41844,"4/5/2016 5:15"
"3543","4/2/2016 18:42",1000,1,7,2002,1,75,"corsa",150000,3,"0",38,0,"4/2/2016 0:00",42781,"4/6/2016 18:17"
"3547","3/24/2016 19:39",450,1,8,1999,0,116,"vectra",150000,0,"0",38,NA,"3/24/2016 0:00",39387,"4/7/2016 14:58"
"3553","3/25/2016 14:54",4299,1,8,2004,0,145,"mondeo",150000,3,"0",35,0,"3/25/2016 0:00",97892,"3/28/2016 14:18"
"3560","3/22/2016 14:58",8450,1,6,2010,0,69,"fabia",50000,3,"0",30,0,"3/22/2016 0:00",57234,"4/7/2016 3:46"
"3564","3/9/2016 21:51",400,0,6,1998,0,0,"galant",150000,1,"0",20,NA,"3/9/2016 0:00",45881,"4/6/2016 2:17"
"3579","3/31/2016 20:56",3400,0,8,2002,0,143,"3er",150000,5,"0",30,0,"3/31/2016 0:00",59348,"4/6/2016 15:47"
"3591","4/4/2016 2:36",14100,1,3,2010,1,170,"passat",150000,4,"1",40,0,"4/4/2016 0:00",72810,"4/6/2016 8:45"
"3592","3/26/2016 12:55",3990,1,4,2004,0,136,"3_reihe",150000,9,"0",33,0,"3/26/2016 0:00",42369,"3/29/2016 15:15"
"3594","3/20/2016 13:55",6990,0,8,2009,0,80,"golf",70000,6,"0",40,0,"3/20/2016 0:00",9130,"4/6/2016 15:45"
"3602","3/7/2016 19:47",899,1,7,2001,NA,60,"ka",100000,5,"",35,0,"3/7/2016 0:00",69115,"3/10/2016 14:46"
"3603","3/12/2016 8:32",965,0,7,2002,0,75,"2_reihe",150000,5,"0",33,0,"3/12/2016 0:00",63225,"3/15/2016 18:15"
"3608","3/9/2016 9:51",0,0,8,1997,0,102,"3er",150000,0,"0",30,NA,"3/9/2016 0:00",79183,"4/7/2016 14:57"
